weight,age,height,size
62,28,172.72,XL
59,36,167.64,L
61,34,165.1,M
65,27,175.26,L
62,45,172.72,M
50,27,160.02,S
53,65,160.02,M
51,33,160.02,XS
54,26,167.64,M
53,32,165.1,S
63,30,170.18,XXL
77,35,172.72,XXL
64,26,165.1,L
52,28,160.02,M
65,33,165.1,L
63,30,167.64,L
54,21,167.64,XS
63,27,172.72,M
63,30,167.64,M
54,20,167.64,S
55,32,154.94,S
55,37,160.02,M
55,50,165.1,S
50,43,160.02,M
74,29,177.8,XL
64,32,160.02,XL
58,29,167.64,XS
54,47,165.1,M
58,31,154.94,XL
65,27,172.72,L
47,43,157.48,S
61,27,165.1,M
58,29,172.72,M
86,48,172.72,XXL
68,36,162.56,XL
65,27,170.18,L
65,34,170.18,L
54,40,157.48,M
52,45,154.94,M
52,30,170.18,S
58,52,162.56,XXL
78,37,175.26,XXL
61,34,172.72,L
49,24,167.64,S
61,28,162.56,M
64,34,162.56,XXL
63,25,167.64,S
56,32,157.48,M
50,27,170.18,S
77,29,172.72,XXL
58,32,165.1,L
65,33,165.1,L
61,33,167.64,XL
56,36,175.26,M
81,27,165.1,XXL
49,30,162.56,M
58,29,162.56,L
72,28,162.56,L
63,28,172.72,M
58,33,157.48,XL
65,29,165.1,XL
60,27,167.64,XL
68,28,167.64,L
70,32,175.26,XL
63,36,157.48,XL
58,36,165.1,S
79,49,167.64,XXL
49,40,157.48,M
56,22,157.48,S
59,35,175.26,S
50,32,154.94,XS
53,33,162.56,S
56,32,165.1,M
113,27,167.64,XXL
88,30,162.56,XXL
68,42,165.1,XL
74,53,157.48,XXL
104,34,154.94,XXL
58,33,162.56,S
61,30,172.72,M
61,69,154.94,XXL
54,34,160.02,S
65,36,167.64,L
70,35,167.64,XXL
54,31,162.56,M
52,31,172.72,XS
63,33,167.64,L
70,23,147.32,XXL
79,32,170.18,XXL
49,17,167.64,S
57,37,157.48,M
95,43,172.72,XXL
72,50,170.18,XXL
58,24,170.18,M
74,31,170.18,XL
54,36,170.18,S
77,30,167.64,XL
63,53,167.64,M
99,44,172.72,XXL
62,30,177.8,M
81,33,185.42,XXL
56,32,162.56,L
55,26,170.18,S
61,30,170.18,XL
65,27,167.64,XL
61,31,170.18,M
65,33,167.64,L
58,29,162.56,L
72,44,175.26,XXL
63,27,162.56,XL
65,47,170.18,L
63,31,175.26,M
80,41,170.18,XXL
63,23,162.56,L
58,23,180.34,XL
71,23,170.18,XL
53,29,160.02,M
81,59,162.56,XXL
83,30,162.56,XXL
63,34,172.72,M
54,29,157.48,S
95,30,160.02,XXL
56,28,165.1,M
61,33,165.1,S
74,31,157.48,XXL
70,26,154.94,L
72,52,170.18,XXL
62,29,162.56,L
59,39,160.02,L
52,27,157.48,XS
90,59,162.56,XXL
72,20,167.64,XXL
63,30,165.1,XL
63,37,172.72,M
47,28,154.94,XS
58,29,157.48,M
65,33,167.64,L
62,30,157.48,M
62,24,175.26,M
63,33,157.48,XL
68,42,167.64,XL
59,31,162.56,M
56,30,172.72,S
58,33,160.02,M
58,31,157.48,M
65,29,172.72,L
65,29,180.34,XL
68,29,162.56,XL
65,32,172.72,L
77,43,172.72,XXL
53,28,157.48,XS
58,36,175.26,M
54,37,152.4,M
53,42,167.64,S
54,41,162.56,S
66,41,170.18,L
52,42,165.1,S
53,32,170.18,S
58,53,160.02,L
56,33,162.56,M
56,33,170.18,L
56,52,162.56,M
63,31,172.72,XL
65,52,152.4,XXL
58,38,167.64,L
63,39,175.26,XL
54,23,162.56,M
58,29,167.64,M
70,34,170.18,XL
58,30,167.64,M
46,28,152.4,XS
58,28,157.48,S
79,51,162.56,XXL
54,29,165.1,S
61,32,162.56,M
54,33,154.94,S
58,26,170.18,M
72,30,177.8,L
58,46,167.64,L
56,26,165.1,S
62,52,162.56,M
61,38,154.94,XXL
63,32,172.72,M
61,31,162.56,M
64,41,162.56,L
50,30,154.94,XS
54,34,162.56,M
56,23,175.26,S
61,31,175.26,S
52,39,167.64,XS
65,30,175.26,M
65,38,160.02,L
50,52,160.02,L
53,28,152.4,S
68,46,162.56,XL
52,31,157.48,S
95,24,175.26,XXL
65,34,177.8,XL
58,32,160.02,S
61,30,160.02,M
73,35,167.64,XXL
59,36,162.56,M
74,46,167.64,XXL
90,31,165.1,XXL
70,45,157.48,XXL
65,53,162.56,XL
53,32,165.1,S
58,33,160.02,L
49,34,160.02,XS
50,28,165.1,S
53,43,167.64,M
54,27,165.1,M
77,36,167.64,XXL
54,27,157.48,M
65,50,172.72,XXL
65,26,172.72,L
68,37,170.18,XL
78,29,167.64,XXL
58,24,180.34,XS
58,31,157.48,L
68,30,170.18,XXL
70,46,165.1,XXL
65,26,175.26,L
48,40,152.4,XS
54,27,157.48,S
55,27,170.18,M
55,41,157.48,L
61,47,160.02,XL
61,30,172.72,M
65,31,175.26,M
60,28,170.18,M
58,35,167.64,XL
68,30,162.56,M
112,38,175.26,XXL
61,45,162.56,XL
54,34,165.1,S
58,45,172.72,M
68,30,167.64,XL
58,31,162.56,M
58,30,170.18,S
79,27,177.8,L
56,38,170.18,S
49,39,157.48,S
69,40,175.26,XXL
61,43,167.64,M
69,31,172.72,XL
72,36,175.26,XL
61,37,160.02,L
54,23,167.64,XS
60,35,170.18,XL
50,48,162.56,XS
66,49,162.56,L
58,50,162.56,L
61,33,162.56,L
52,29,167.64,XS
64,34,175.26,L
54,51,167.64,S
